inst,family,spec,n_tr,tr_r,tr_wr,tr_pf,tr_dd,segs,seg_ok,te_n,te_r,te_pf
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tp0.75|x08,479,21.55,74.32,1.14,8.15,+4.7 / +7.4 / +10.9,True,132,22.07,1.73
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tpopp|x08,479,-37.31,42.8,0.89,51.24,-6.0 / -11.7 / -18.2,False,132,-37.51,0.61
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tp0.75|x08,446,36.78,76.91,1.29,7.85,+3.0 / +11.5 / +21.9,True,122,12.99,1.4
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tpopp|x08,446,-38.84,40.13,0.88,57.78,-22.7 / -10.5 / -4.3,False,122,-31.39,0.65
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tp0.75|x08,406,36.08,77.34,1.31,7.72,+7.2 / +18.8 / +9.7,True,116,6.08,1.18
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tpopp|x08,406,-49.92,37.19,0.84,72.99,-4.5 / -29.0 / -15.0,False,116,-18.92,0.77
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tp0.75|x08,484,22.48,74.38,1.15,8.15,+3.4 / +10.0 / +10.4,True,135,23.49,1.78
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tpopp|x08,484,-36.06,42.77,0.89,49.18,-6.0 / -11.4 / -17.2,False,135,-38.01,0.62
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tp0.75|x08,464,42.74,77.37,1.33,7.46,+5.8 / +13.0 / +23.6,True,125,12.59,1.38
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tpopp|x08,464,-24.97,40.95,0.92,46.38,-9.1 / -10.9 / -3.6,False,125,-32.49,0.65
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tp0.75|x08,424,41.86,77.83,1.36,6.12,+8.6 / +20.1 / +12.8,True,119,7.69,1.22
EURUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tpopp|x08,424,-43.61,37.5,0.86,71.16,-4.4 / -23.1 / -14.7,False,119,-19.5,0.77
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x10,549,-156.23,65.57,0.34,157.39,-66.3 / -49.4 / -40.6,False,159,-36.44,0.42
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x11,549,-155.16,65.76,0.34,156.96,-66.3 / -49.0 / -40.0,False,159,-36.44,0.42
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x10,549,-135.14,58.47,0.53,136.65,-64.3 / -41.9 / -27.6,False,159,-29.52,0.62
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x11,549,-135.01,58.47,0.53,136.8,-64.3 / -41.9 / -27.5,False,159,-30.19,0.61
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x10,549,-145.08,34.79,0.67,162.63,-52.7 / -32.9 / -58.0,False,159,-34.26,0.71
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x11,549,-141.62,34.97,0.68,161.67,-55.4 / -34.1 / -50.8,False,159,-34.36,0.72
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x10,549,-68.41,69.58,0.64,70.98,-38.5 / -14.7 / -13.9,False,159,-2.86,0.93
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x11,549,-67.95,69.4,0.64,70.71,-38.1 / -14.8 / -13.8,False,159,-1.93,0.95
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x10,549,-68.62,59.02,0.72,78.9,-40.2 / -10.8 / -16.3,False,159,-16.19,0.76
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x11,549,-66.95,59.56,0.73,77.41,-38.1 / -11.0 / -16.5,False,159,-14.4,0.79
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tpopp|x10,549,-76.99,44.08,0.76,92.89,-31.2 / -14.6 / -29.9,False,159,-10.81,0.87
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tpopp|x11,549,-74.03,44.99,0.78,91.27,-28.2 / -18.7 / -25.9,False,159,-12.18,0.86
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.5|x10,540,-115.84,70.19,0.42,118.45,-52.6 / -31.8 / -31.5,False,151,-29.15,0.47
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.5|x11,540,-115.42,70.19,0.43,118.02,-52.6 / -31.4 / -31.5,False,151,-29.15,0.47
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.75|x10,540,-78.97,64.07,0.67,83.51,-42.1 / -23.7 / -11.7,False,151,-15.47,0.76
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.75|x11,540,-78.27,64.26,0.68,83.49,-42.1 / -23.7 / -11.0,False,151,-14.65,0.77
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tpopp|x10,540,-100.46,37.04,0.76,121.61,-35.1 / -23.9 / -40.0,False,151,-29.33,0.74
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tpopp|x11,540,-95.25,36.67,0.78,120.2,-37.2 / -24.1 / -32.6,False,151,-33.63,0.72
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.5|x10,540,-35.36,73.52,0.78,38.33,-28.3 / -1.5 / -4.3,False,151,2.03,1.06
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.5|x11,540,-33.4,74.07,0.79,36.82,-27.8 / -0.6 / -3.7,False,151,2.94,1.08
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.75|x10,540,-26.33,63.52,0.88,33.64,-31.9 / +6.8 / +0.1,False,151,0.17,1.0
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.75|x11,540,-26.11,63.89,0.88,32.94,-31.2 / +6.7 / -0.4,False,151,-0.21,1.0
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tpopp|x10,540,-48.45,45.56,0.84,65.14,-26.8 / -2.5 / -17.8,False,151,-11.81,0.85
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tpopp|x11,540,-50.28,45.37,0.84,68.36,-27.9 / -6.7 / -14.4,False,151,-15.42,0.82
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.5|x10,520,-99.64,71.35,0.46,102.15,-45.5 / -28.6 / -25.6,False,143,-25.14,0.5
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.5|x11,520,-99.21,71.35,0.46,101.72,-45.5 / -28.2 / -25.6,False,143,-25.14,0.5
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.75|x10,520,-48.08,67.12,0.78,56.47,-32.0 / -9.3 / -5.4,False,143,-7.21,0.87
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.75|x11,520,-48.06,67.12,0.78,56.45,-32.0 / -9.3 / -5.4,False,143,-6.39,0.88
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tpopp|x10,520,-84.96,37.5,0.79,108.94,-24.5 / -23.3 / -35.8,False,143,-21.18,0.8
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tpopp|x11,520,-82.46,36.54,0.8,109.29,-25.4 / -27.2 / -28.5,False,143,-27.77,0.75
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.5|x10,520,-6.87,76.92,0.95,16.23,-14.7 / +8.6 / +0.5,False,143,1.36,1.04
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.5|x11,520,-6.16,77.31,0.95,16.23,-14.2 / +8.9 / +0.4,False,143,3.28,1.1
EURUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.75|x10,520,16.27,68.65,1.09,13.27,-2.3 / +14.9 / +4.9,False,143,4.85,1.1
