inst,family,spec,n_tr,tr_r,tr_wr,tr_pf,tr_dd,segs,seg_ok,te_n,te_r,te_pf
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tp0.75|x08,473,-13.95,72.3,0.92,23.07,+7.1 / -17.0 / -2.5,False,137,8.14,1.2
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tpopp|x08,473,-140.63,34.67,0.63,158.27,-13.8 / -60.2 / -65.1,False,137,-13.52,0.86
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tp0.75|x08,444,-0.69,74.1,1.0,24.34,-3.7 / -13.4 / +16.1,False,123,3.26,1.08
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tpopp|x08,444,-143.77,33.78,0.61,145.46,-36.3 / -47.7 / -58.3,False,123,-17.32,0.81
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tp0.75|x08,409,-4.81,73.59,0.97,29.51,-4.3 / -11.5 / +10.7,False,112,16.74,1.65
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tpopp|x08,409,-144.79,29.58,0.6,143.49,-46.7 / -44.4 / -52.3,False,112,-8.32,0.9
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tp0.75|x08,482,-11.22,72.61,0.93,21.5,+8.3 / -15.3 / -2.8,False,139,5.46,1.13
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tpopp|x08,482,-139.8,34.85,0.64,156.17,-14.9 / -57.5 / -65.9,False,139,-16.2,0.83
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tp0.75|x08,459,1.77,74.29,1.01,24.45,-3.2 / -14.0 / +18.6,False,132,2.25,1.05
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tpopp|x08,459,-144.23,33.77,0.62,147.4,-32.8 / -51.8 / -58.2,False,132,-15.4,0.85
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tp0.75|x08,424,-5.84,73.35,0.96,32.32,-8.8 / -9.1 / +11.8,False,124,13.52,1.42
GBPUSD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tpopp|x08,424,-146.28,29.72,0.6,147.12,-56.0 / -41.0 / -47.8,False,124,-9.57,0.9
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x10,541,-220.03,59.15,0.22,218.89,-91.8 / -70.1 / -56.7,False,162,-49.4,0.32
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x11,541,-220.03,59.15,0.22,218.89,-91.8 / -70.1 / -56.7,False,162,-49.4,0.32
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x10,541,-208.53,52.87,0.37,207.64,-85.0 / -60.6 / -61.4,False,162,-42.15,0.52
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x11,541,-208.53,52.87,0.37,207.64,-85.0 / -60.6 / -61.4,False,162,-42.15,0.52
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x10,541,-211.66,31.24,0.56,212.18,-79.6 / -56.3 / -74.3,False,162,-42.73,0.67
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x11,541,-199.94,30.68,0.58,201.35,-74.6 / -53.6 / -70.3,False,162,-40.61,0.69
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x10,541,-114.13,66.17,0.48,113.2,-44.9 / -28.8 / -39.1,False,162,-16.1,0.69
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x11,541,-114.37,66.36,0.48,113.44,-45.2 / -28.6 / -39.3,False,162,-18.09,0.67
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x10,541,-133.81,53.97,0.54,133.13,-45.8 / -41.0 / -45.7,False,162,-13.69,0.8
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x11,541,-132.79,54.53,0.54,132.11,-45.4 / -40.9 / -45.2,False,162,-15.62,0.78
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tpopp|x10,541,-135.26,40.85,0.63,140.6,-40.7 / -46.8 / -46.4,False,162,-16.63,0.82
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tpopp|x11,541,-130.49,40.11,0.65,141.49,-34.4 / -46.0 / -48.8,False,162,-15.86,0.83
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.5|x10,536,-185.14,62.69,0.26,184.11,-81.1 / -61.6 / -41.0,False,156,-41.02,0.36
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.5|x11,536,-185.14,62.69,0.26,184.11,-81.1 / -61.6 / -41.0,False,156,-41.02,0.36
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.75|x10,536,-165.64,57.09,0.45,164.74,-67.6 / -51.4 / -45.2,False,156,-32.02,0.59
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.75|x11,536,-165.64,57.09,0.45,164.74,-67.6 / -51.4 / -45.2,False,156,-32.02,0.59
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tpopp|x10,536,-174.2,33.02,0.62,180.82,-61.3 / -55.8 / -55.6,False,156,-34.78,0.72
GBPUSD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tpopp|x11,536,-158.01,32.28,0.66,171.39,-53.6 / -52.4 / -50.5,False,156,-30.59,0.76
