inst,family,spec,n_tr,tr_r,tr_wr,tr_pf,tr_dd,segs,seg_ok,te_n,te_r,te_pf
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tp0.75|x08,315,78.48,73.97,1.94,8.09,+19.6 / +38.3 / +21.6,True,118,26.43,1.78
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tpopp|x08,315,-14.12,40.32,0.93,33.34,-9.3 / +4.4 / -8.2,False,118,7.93,1.13
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tp0.75|x08,294,69.03,73.13,1.86,7.31,+6.8 / +31.8 / +31.5,True,115,34.01,2.23
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tpopp|x08,294,-9.67,38.1,0.95,33.3,-13.8 / +5.3 / -0.2,False,115,1.46,1.02
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tp0.75|x08,262,71.98,75.57,2.1,4.87,+18.5 / +23.3 / +31.2,True,101,34.79,2.62
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tpopp|x08,262,-8.3,35.88,0.95,34.9,-10.8 / -1.3 / +4.8,False,101,2.78,1.05
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tp0.75|x08,319,79.62,73.98,1.94,8.09,+18.5 / +39.0 / +23.1,True,119,27.16,1.81
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tpopp|x08,319,-18.23,39.81,0.91,35.42,-10.3 / +3.4 / -10.2,False,119,6.9,1.11
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tp0.75|x08,301,70.51,73.09,1.86,7.31,+6.4 / +33.2 / +31.9,True,117,35.49,2.28
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tpopp|x08,301,-13.6,37.54,0.93,35.2,-16.0 / +6.6 / -3.3,False,117,0.98,1.02
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tp0.75|x08,273,76.3,75.82,2.13,4.87,+19.5 / +22.7 / +35.1,True,103,34.52,2.53
GOLD,A_asia_ny,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tpopp|x08,273,-9.04,35.53,0.95,33.78,-12.1 / +1.0 / +3.1,False,103,0.76,1.01
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x10,410,-4.96,68.05,0.96,15.52,-6.1 / +3.3 / -2.7,False,149,-0.23,0.99
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x11,410,-6.55,68.05,0.95,17.46,-6.2 / +1.9 / -2.7,False,149,1.2,1.03
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x10,410,1.79,59.02,1.01,14.24,+0.4 / +6.2 / -5.6,False,149,1.66,1.03
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x11,410,-1.03,59.27,0.99,17.09,+0.6 / +5.5 / -8.0,False,149,-1.64,0.97
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x10,410,-47.03,39.27,0.79,63.68,+4.2 / -25.6 / -26.4,False,149,-11.33,0.83
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x11,410,-43.38,37.07,0.82,64.24,+6.3 / -25.3 / -25.3,False,149,-13.68,0.82
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x10,410,-5.78,63.41,0.95,12.18,-3.3 / -0.3 / -2.6,False,149,1.5,1.04
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x11,410,-10.25,64.15,0.92,17.49,-3.2 / -1.3 / -6.3,False,149,2.33,1.06
GOLD,B_london,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x10,410,-27.84,50.98,0.83,36.26,-6.5 / -12.7 / -9.4,False,149,-1.63,0.96
