exit_time,GOLD_BASE_A,GOLD_NYJUDAS,EURUSD_BASE_A,EURUSD_NYJUDAS,GBPUSD_BASE_A,GBPUSD_NYTREND,USDJPY_BASE_A
2026-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.573
2026-01-02,-1.014,0.982,0.12,0.0,0.341,-1.122,0.0
2026-01-05,0.0,0.977,-0.647,0.815,-1.211,1.41,0.605
2026-01-06,0.727,-0.118,0.0,0.864,0.45,0.23,-1.127
2026-01-07,0.727,0.98,0.489,0.0,0.376,0.829,0.571
2026-01-08,-1.028,-1.02,0.94,0.733,0.351,-0.275,1.169
2026-01-09,0.0,0.973,0.0,0.754,0.47,0.0,0.0
2026-01-12,0.0,-1.023,-1.159,0.0,0.585,-0.599,1.254
2026-01-13,0.729,-1.024,0.408,0.84,0.374,0.99,0.0
2026-01-14,-0.2839999999999999,0.979,0.487,0.0,0.459,0.0,0.598
2026-01-15,0.0,0.976,0.436,-1.211,0.0,-0.254,0.624
2026-01-16,0.0,0.977,0.0,-1.188,0.427,-1.134,-1.135
2026-01-19,0.0,0.0,-1.151,-0.177,0.539,0.529,-1.112
2026-01-20,-1.01,0.981,0.466,0.9,0.409,0.0,0.574
2026-01-21,0.731,0.987,0.0,0.0,0.528,-1.102,0.612
2026-01-22,0.737,0.979,0.0,0.788,0.536,1.164,-1.137
2026-01-23,0.0,-0.753,0.491,-1.181,-1.218,1.386,0.595
2026-01-26,0.0,0.985,-1.1,0.886,-1.139,0.042,-1.043
2026-01-27,0.737,0.984,0.575,0.897,0.0,1.408,-1.094
2026-01-28,-0.266,0.0,0.665,-1.081,0.64,0.0,0.0
2026-01-29,0.0,-1.004,0.0,0.914,0.0,-0.615,0.69
2026-01-30,0.746,0.0,-1.102,-0.723,-1.153,0.989,0.675
2026-02-02,0.0,0.0,0.0,-1.12,0.566,-0.51,0.0
2026-02-03,-1.004,0.993,-1.139,0.0,-1.211,0.0,0.641
2026-02-04,1.488,-1.009,0.564,0.852,-1.232,1.393,0.609
2026-02-05,0.744,0.0,0.519,0.831,0.546,0.076,0.632
2026-02-06,0.0,-1.008,0.581,0.752,0.603,1.077,0.631
2026-02-09,-1.01,-1.011,0.536,-1.144,0.515,0.808,0.642
2026-02-10,0.0,0.988,0.578,0.847,0.465,0.0,0.657
2026-02-11,0.732,0.99,0.551,-1.127,0.518,0.484,-1.101
2026-02-12,0.738,0.984,0.518,0.0,0.509,-1.103,0.672
2026-02-13,0.739,0.988,0.505,-1.233,0.442,0.749,0.664
2026-02-16,0.0,0.0,0.386,0.0,0.352,-0.001,-0.51
2026-02-17,-1.01,0.99,0.419,-1.213,0.0,-1.084,0.0
2026-02-18,0.275,-1.02,0.433,0.793,0.425,1.372,0.626
2026-02-19,0.729,0.981,0.43,-1.192,0.436,-0.05,0.652
2026-02-20,0.73,0.983,0.461,0.802,0.532,0.123,0.641
2026-02-23,0.0,-1.015,-1.099,0.0,-0.029,0.0,-1.062
2026-02-24,-1.012,-1.015,0.566,0.0,0.482,-0.418,-1.12
2026-02-25,0.465,0.983,0.468,0.0,-1.272,0.691,1.255
2026-02-26,0.0,0.984,-1.247,0.831,0.463,1.404,0.647
2026-02-27,0.0,-1.021,0.532,0.0,0.0,-1.094,0.0
2026-03-02,0.0,-1.011,-1.121,0.92,-1.122,0.0,-1.099
2026-03-03,0.739,0.996,0.594,0.911,0.59,0.0,0.662
2026-03-04,0.739,0.988,0.643,0.0,0.629,0.0,0.657
2026-03-05,0.738,-1.011,0.568,0.917,-1.182,0.0,-1.113
2026-03-06,0.741,0.986,0.0,0.0,0.502,0.232,0.0
2026-03-09,0.0,0.989,-1.077,0.926,-1.09,1.439,-1.069
2026-03-10,0.737,-1.017,0.629,0.0,0.595,0.0,0.65
2026-03-11,0.736,0.984,1.1440000000000001,-0.048,1.162,0.0,0.637
2026-03-12,0.0,0.983,0.0,0.861,0.0,0.763,0.596
2026-03-13,0.735,0.987,0.532,0.0,0.534,0.506,0.618
2026-03-16,0.0,0.986,0.63,0.879,0.605,0.284,0.629
2026-03-17,0.731,0.984,0.589,-0.482,0.562,0.351,0.628
2026-03-18,0.723,0.989,0.456,0.878,0.381,0.0,0.594
2026-03-19,0.739,0.994,0.0,-1.1,0.0,1.427,-1.126
2026-03-20,0.74,0.991,0.612,0.888,0.583,0.117,0.652
2026-03-23,0.0,0.0,0.596,0.948,0.6,-0.086,0.635
2026-03-24,1.488,0.0,0.655,0.872,0.623,-1.075,0.649
2026-03-25,0.0,0.0,0.0,0.871,0.0,0.0,0.0
2026-03-26,0.741,0.991,0.0,0.0,0.496,0.0,0.0
2026-03-27,-0.015,-1.01,0.0,0.857,0.0,0.0,0.0
2026-03-30,0.0,0.0,0.0,0.83,0.0,-0.011,0.0
2026-03-31,-1.01,0.988,0.575,-1.134,-1.19,-1.069,0.598
2026-04-01,0.738,0.234,0.625,0.9,0.55,-0.542,0.655
2026-04-02,-1.01,0.992,0.631,0.858,-1.135,-0.004,0.651
2026-04-03,0.0,0.0,0.355,-0.202,0.362,0.841,0.0
2026-04-07,-0.275,0.99,-0.641,0.0,-0.675,0.0,-0.53
2026-04-08,0.0,0.989,0.0,0.0,0.0,0.0,0.0
2026-04-09,0.0,0.984,0.0,0.807,0.0,0.134,0.601
2026-04-10,0.731,0.982,-1.281,0.824,-1.306,0.0,-0.486
2026-04-13,0.0,0.981,0.0,-1.17,0.0,1.384,0.0
2026-04-14,0.733,0.984,0.492,0.0,0.384,-1.119,0.607
2026-04-15,1.462,0.98,0.479,0.21,0.51,-0.55,0.585
2026-04-16,0.0,-1.022,0.484,0.8,0.45,0.116,-1.151
2026-04-17,0.727,-1.015,0.444,0.831,0.446,0.0,-1.164
2026-04-20,0.0,0.0,0.0,0.794,0.0,0.216,0.0
2026-04-21,0.722,-1.013,0.43,-1.174,-1.35,0.0,-1.194
2026-04-22,-0.277,0.975,0.0,-0.699,0.539,0.0,0.0
2026-04-23,-1.018,0.0,0.47,0.0,-1.287,0.0,0.58
2026-04-24,0.73,0.313,0.0,0.0,0.415,1.195,0.0
2026-04-27,0.0,-1.031,0.0,0.0,0.0,0.0,0.0
2026-04-28,0.721,0.0,0.412,-0.016,0.376,0.055,0.515
2026-04-29,0.723,-1.016,0.411,0.785,0.37,1.373,0.497
2026-04-30,0.731,0.0,0.543,0.891,0.523,1.426,1.2810000000000001
2026-05-01,0.724,0.984,0.387,0.866,0.383,0.0,0.0
2026-05-04,0.0,0.986,0.0,0.866,0.519,-0.35,0.66
2026-05-05,-0.2929999999999999,0.98,-0.7369999999999999,-1.212,0.415,-0.897,-0.569
2026-05-06,0.0,0.0,0.0,0.0,-1.192,-0.432,0.0
2026-05-07,0.727,0.984,0.505,0.0,-1.275,-1.154,0.628
2026-05-08,0.0,0.984,0.5,0.817,-1.212,0.265,0.0
2026-05-11,0.0,-1.015,0.0,0.797,0.0,-0.774,0.0
2026-05-12,0.733,0.982,0.473,0.809,-1.264,0.0,0.548
2026-05-13,0.0,0.979,-1.382,0.0,0.506,0.0,0.539
2026-05-14,0.731,0.985,0.377,-1.235,0.463,1.378,-1.164
2026-05-15,0.731,0.988,-1.293,0.0,0.588,0.0,0.572
2026-05-18,0.0,0.984,0.0,0.0,0.0,0.739,0.0
2026-05-19,0.732,-1.015,-1.234,0.795,0.0,0.0,0.0
2026-05-20,0.732,-1.015,0.475,-1.16,0.47,1.395,0.569
2026-05-21,0.728,0.983,0.435,0.877,0.464,-1.104,0.506
2026-05-22,0.722,0.983,0.388,0.0,0.342,-0.3,0.0
2026-05-25,0.0,0.0,0.351,0.0,0.266,0.0,0.0
2026-05-26,1.459,0.0,0.435,0.758,0.0,1.336,0.349
2026-05-27,0.0,0.988,0.0,0.862,0.0,-1.136,0.474
2026-05-28,-1.02,0.983,-1.211,0.856,-1.271,0.667,0.457
2026-05-29,0.727,-1.016,0.437,-1.157,0.352,1.382,0.445
2026-06-01,0.0,-1.018,0.0,-1.187,0.0,-1.108,0.0
2026-06-02,1.4529999999999998,-1.022,-0.87,-1.227,-0.885,-1.17,0.0
2026-06-03,0.0,0.983,0.494,0.0,0.0,0.427,-0.674
2026-06-04,0.731,0.0,0.0,0.0,0.454,0.0,0.0
2026-06-05,-1.024,-1.015,0.256,0.858,0.269,1.406,0.398
2026-06-08,0.0,0.986,0.0,0.846,0.0,0.0,0.0
2026-06-09,0.739,0.979,-1.32,0.847,-1.374,0.0,0.0
2026-06-10,0.74,0.99,0.477,0.83,0.541,0.0,0.0
2026-06-11,0.0,0.0,0.0,0.843,0.0,-1.122,0.0
2026-06-12,0.0,0.986,0.0,0.0,0.519,0.0,0.632
2026-06-15,0.0,0.98,0.0,0.0,0.0,0.0,0.0
