inst,book,param,R,n
GOLD,NYJUDAS,buf=0.0,31.78,149
GOLD,NYJUDAS,buf=0.5,56.95,124
GOLD,NYJUDAS,mult=0.75,43.97,135
GOLD,NYJUDAS,mult=1.25,49.23,135
GOLD,NYJUDAS,tp=0.75,41.64,135
GOLD,NYJUDAS,tp=1.5,28.92,135
GOLD,NYJUDAS,exit_hour=18,55.16,135
GOLD,NYJUDAS,exit_hour=20,55.03,135
GOLD,NYJUDAS,PICK,55.04,135
EURUSD,NYJUDAS,buf=0.25,14.17,130
EURUSD,NYJUDAS,buf=0.75,23.36,91
EURUSD,NYJUDAS,mult=0.75,15.74,112
EURUSD,NYJUDAS,mult=1.25,18.59,112
EURUSD,NYJUDAS,tp=0.75,17.76,112
EURUSD,NYJUDAS,tp=1.5,6.63,112
EURUSD,NYJUDAS,exit_hour=16,27.36,112
EURUSD,NYJUDAS,exit_hour=19,22.13,112
EURUSD,NYJUDAS,PICK,23.5,112
GBPUSD,NYTREND,mult=1.0,21.07,107
GBPUSD,NYTREND,mult=2.0,21.11,107
GBPUSD,NYTREND,tp=1.0,22.6,107
GBPUSD,NYTREND,tp=2.0,26.19,107
GBPUSD,NYTREND,exit_hour=19,23.33,107
GBPUSD,NYTREND,exit_hour=21,22.66,107
GBPUSD,NYTREND,"ref_win=(6, 12)",21.59,118
GBPUSD,NYTREND,"ref_win=(7, 14)",22.87,88
GBPUSD,NYTREND,PICK,22.8,107
