date,side,entry_time,entry,sl,tp,exit_time,exit,r,reason,mae_r,mfe_r,month
2026-01-01,short,2026-01-02 00:00:00+00:00,1.17596,1.17628,1.17572,2026-01-02 00:00:00+00:00,1.17572,0.12,tp,0.31,1.87,2026-01
2026-01-02,long,2026-01-05 01:00:00+00:00,1.17067,1.16955,1.1715,2026-01-05 02:00:00+00:00,1.16955,-1.179,sl,1.7,0.38,2026-01
2026-01-05,long,2026-01-05 23:00:00+00:00,1.17169,1.17077,1.17238,2026-01-05 23:00:00+00:00,1.17238,0.532,tp,0.05,0.85,2026-01
2026-01-06,short,2026-01-07 02:00:00+00:00,1.17049,1.17126,1.16992,2026-01-07 02:00:00+00:00,1.16992,0.489,tp,0.07,0.82,2026-01
2026-01-07,long,2026-01-08 02:00:00+00:00,1.16769,1.16716,1.16809,2026-01-08 02:00:00+00:00,1.16809,0.374,tp,0.28,1.26,2026-01
2026-01-08,short,2026-01-08 22:00:00+00:00,1.16686,1.16795,1.16604,2026-01-08 22:00:00+00:00,1.16604,0.566,tp,0.0,1.12,2026-01
2026-01-09,short,2026-01-12 00:00:00+00:00,1.1654,1.16666,1.16446,2026-01-12 00:00:00+00:00,1.16666,-1.159,sl,1.05,2.18,2026-01
2026-01-12,long,2026-01-13 02:00:00+00:00,1.16614,1.16555,1.16658,2026-01-13 03:00:00+00:00,1.16658,0.408,tp,0.16,0.77,2026-01
2026-01-13,long,2026-01-14 01:00:00+00:00,1.16406,1.1633,1.16463,2026-01-14 01:00:00+00:00,1.16463,0.487,tp,0.07,0.82,2026-01
2026-01-14,long,2026-01-15 07:00:00+00:00,1.16324,1.1626,1.16371,2026-01-15 07:00:00+00:00,1.16371,0.436,tp,0.27,1.0,2026-01
2026-01-16,short,2026-01-19 00:00:00+00:00,1.16195,1.16327,1.16096,2026-01-19 00:00:00+00:00,1.16327,-1.151,sl,1.66,0.59,2026-01
2026-01-19,long,2026-01-20 00:00:00+00:00,1.16385,1.16314,1.16437,2026-01-20 00:00:00+00:00,1.16437,0.466,tp,0.34,0.81,2026-01
2026-01-22,long,2026-01-23 08:00:00+00:00,1.17376,1.17299,1.17434,2026-01-23 08:00:00+00:00,1.17434,0.491,tp,0.78,1.36,2026-01
2026-01-23,short,2026-01-26 00:00:00+00:00,1.18486,1.18685,1.18337,2026-01-26 01:00:00+00:00,1.18685,-1.1,sl,1.19,0.01,2026-01
2026-01-26,short,2026-01-27 02:00:00+00:00,1.18992,1.19107,1.18906,2026-01-27 02:00:00+00:00,1.18906,0.575,tp,0.36,1.74,2026-01
2026-01-28,short,2026-01-28 23:00:00+00:00,1.19767,1.20002,1.1959,2026-01-28 23:00:00+00:00,1.1959,0.665,tp,0.16,0.88,2026-01
2026-01-29,long,2026-01-30 01:00:00+00:00,1.19307,1.19111,1.19454,2026-01-30 02:00:00+00:00,1.19111,-1.102,sl,1.61,0.64,2026-01
2026-02-02,short,2026-02-03 00:00:00+00:00,1.18096,1.18239,1.17988,2026-02-03 07:00:00+00:00,1.18239,-1.139,sl,1.24,0.51,2026-02
2026-02-03,short,2026-02-04 01:00:00+00:00,1.18353,1.1846,1.18272,2026-02-04 01:00:00+00:00,1.18272,0.564,tp,0.04,1.78,2026-02
2026-02-04,long,2026-02-05 03:00:00+00:00,1.17883,1.17796,1.17948,2026-02-05 04:00:00+00:00,1.17948,0.519,tp,0.0,0.8,2026-02
2026-02-05,long,2026-02-06 00:00:00+00:00,1.17723,1.17605,1.17812,2026-02-06 00:00:00+00:00,1.17812,0.581,tp,0.17,1.12,2026-02
2026-02-06,short,2026-02-09 00:00:00+00:00,1.18353,1.18446,1.18283,2026-02-09 00:00:00+00:00,1.18283,0.536,tp,0.05,0.85,2026-02
2026-02-09,long,2026-02-10 00:00:00+00:00,1.19045,1.18928,1.19132,2026-02-10 01:00:00+00:00,1.19132,0.578,tp,0.34,0.76,2026-02
2026-02-10,short,2026-02-11 03:00:00+00:00,1.19162,1.19263,1.19087,2026-02-11 03:00:00+00:00,1.19087,0.551,tp,0.13,0.86,2026-02
2026-02-11,long,2026-02-12 04:00:00+00:00,1.18665,1.18579,1.18729,2026-02-12 04:00:00+00:00,1.18729,0.518,tp,0.31,1.0,2026-02
2026-02-12,long,2026-02-13 07:00:00+00:00,1.1857,1.18489,1.18632,2026-02-13 07:00:00+00:00,1.18632,0.505,tp,0.72,0.83,2026-02
2026-02-13,long,2026-02-16 08:00:00+00:00,1.18625,1.1857,1.18667,2026-02-16 08:00:00+00:00,1.18667,0.386,tp,0.28,2.03,2026-02
2026-02-16,long,2026-02-17 00:00:00+00:00,1.18465,1.18405,1.1851,2026-02-17 00:00:00+00:00,1.1851,0.419,tp,0.16,1.46,2026-02
2026-02-17,long,2026-02-18 07:00:00+00:00,1.18406,1.18343,1.18454,2026-02-18 07:00:00+00:00,1.18454,0.433,tp,0.55,1.44,2026-02
2026-02-18,short,2026-02-19 06:00:00+00:00,1.18015,1.18078,1.17968,2026-02-19 06:00:00+00:00,1.17968,0.43,tp,0.33,1.22,2026-02
2026-02-19,long,2026-02-20 05:00:00+00:00,1.17564,1.17495,1.17616,2026-02-20 07:00:00+00:00,1.17616,0.461,tp,0.4,1.4,2026-02
2026-02-20,short,2026-02-23 00:00:00+00:00,1.18128,1.18331,1.17975,2026-02-23 00:00:00+00:00,1.18331,-1.099,sl,1.2,0.0,2026-02
2026-02-23,long,2026-02-24 01:00:00+00:00,1.17802,1.17694,1.17883,2026-02-24 01:00:00+00:00,1.17883,0.566,tp,0.41,0.87,2026-02
2026-02-24,short,2026-02-25 02:00:00+00:00,1.1794,1.18011,1.17887,2026-02-25 02:00:00+00:00,1.17887,0.468,tp,0.37,1.78,2026-02
2026-02-25,short,2026-02-26 00:00:00+00:00,1.18214,1.18295,1.18154,2026-02-26 01:00:00+00:00,1.18295,-1.247,sl,1.42,0.65,2026-02
2026-02-26,short,2026-02-27 04:00:00+00:00,1.18156,1.18248,1.18087,2026-02-27 04:00:00+00:00,1.18087,0.532,tp,0.06,1.0,2026-02
2026-02-27,long,2026-03-02 00:00:00+00:00,1.18023,1.17858,1.18148,2026-03-02 00:00:00+00:00,1.17858,-1.121,sl,2.44,0.0,2026-03
2026-03-02,long,2026-03-03 05:00:00+00:00,1.16708,1.16579,1.16804,2026-03-03 05:00:00+00:00,1.16804,0.594,tp,0.17,1.32,2026-03
2026-03-03,long,2026-03-04 01:00:00+00:00,1.15862,1.15675,1.16003,2026-03-04 01:00:00+00:00,1.16003,0.643,tp,0.36,0.78,2026-03
2026-03-04,long,2026-03-05 03:00:00+00:00,1.16183,1.16073,1.16265,2026-03-05 03:00:00+00:00,1.16265,0.568,tp,0.48,1.12,2026-03
2026-03-06,long,2026-03-09 00:00:00+00:00,1.15735,1.15475,1.15931,2026-03-09 00:00:00+00:00,1.15475,-1.077,sl,2.08,0.0,2026-03
2026-03-09,short,2026-03-10 07:00:00+00:00,1.16566,1.16731,1.16442,2026-03-10 07:00:00+00:00,1.16442,0.629,tp,0.56,1.49,2026-03
2026-03-10,short,2026-03-11 06:00:00+00:00,1.16414,1.16509,1.16343,2026-03-11 06:00:00+00:00,1.16343,0.539,tp,0.15,0.86,2026-03
2026-03-11,long,2026-03-11 22:00:00+00:00,1.15549,1.15411,1.15653,2026-03-11 22:00:00+00:00,1.15653,0.605,tp,0.16,1.48,2026-03
