date,side,entry_time,entry,sl,tp,exit_time,exit,r,reason,mae_r,mfe_r,month
2026-01-05,long,2026-01-05 13:00:00+00:00,1.16687,1.16579,1.16795,2026-01-05 14:00:00+00:00,1.16795,0.815,tp,0.51,1.89,2026-01
2026-01-06,long,2026-01-06 15:00:00+00:00,1.1694,1.16793,1.17087,2026-01-06 15:00:00+00:00,1.17087,0.864,tp,0.43,1.15,2026-01
2026-01-08,long,2026-01-08 13:00:00+00:00,1.16689,1.16614,1.16764,2026-01-08 13:00:00+00:00,1.16764,0.733,tp,0.95,1.59,2026-01
2026-01-09,short,2026-01-09 13:00:00+00:00,1.16591,1.16672,1.16509,2026-01-09 13:00:00+00:00,1.16509,0.754,tp,0.5,2.17,2026-01
2026-01-13,long,2026-01-13 15:00:00+00:00,1.16515,1.16389,1.1664,2026-01-13 15:00:00+00:00,1.1664,0.84,tp,0.26,1.26,2026-01
2026-01-15,long,2026-01-15 13:00:00+00:00,1.16205,1.1611,1.16299,2026-01-15 13:00:00+00:00,1.1611,-1.211,sl,1.92,0.79,2026-01
2026-01-16,long,2026-01-16 15:00:00+00:00,1.16064,1.15957,1.1617,2026-01-16 15:00:00+00:00,1.15957,-1.188,sl,1.52,2.15,2026-01
2026-01-19,short,2026-01-19 16:00:00+00:00,1.16496,1.16606,1.16387,2026-01-19 17:00:00+00:00,1.16496,-0.177,time,0.12,0.75,2026-01
2026-01-20,short,2026-01-20 13:00:00+00:00,1.17567,1.17766,1.17368,2026-01-20 13:00:00+00:00,1.17368,0.9,tp,0.68,1.68,2026-01
2026-01-22,short,2026-01-22 13:00:00+00:00,1.17171,1.17265,1.17076,2026-01-22 13:00:00+00:00,1.17076,0.788,tp,0.52,1.08,2026-01
2026-01-23,short,2026-01-23 15:00:00+00:00,1.17536,1.17647,1.17426,2026-01-23 16:00:00+00:00,1.17647,-1.181,sl,2.13,0.38,2026-01
2026-01-26,short,2026-01-26 14:00:00+00:00,1.18796,1.18972,1.18621,2026-01-26 14:00:00+00:00,1.18621,0.886,tp,0.22,1.3,2026-01
2026-01-27,short,2026-01-27 14:00:00+00:00,1.19443,1.19637,1.19249,2026-01-27 14:00:00+00:00,1.19249,0.897,tp,0.68,1.09,2026-01
2026-01-28,long,2026-01-28 15:00:00+00:00,1.19536,1.19288,1.19784,2026-01-28 16:00:00+00:00,1.19288,-1.081,sl,1.11,0.79,2026-01
2026-01-29,long,2026-01-29 15:00:00+00:00,1.19316,1.19084,1.19547,2026-01-29 15:00:00+00:00,1.19547,0.914,tp,0.85,1.67,2026-01
2026-01-30,long,2026-01-30 15:00:00+00:00,1.1891,1.18662,1.19157,2026-01-30 17:00:00+00:00,1.18751,-0.723,time,0.81,0.67,2026-01
2026-02-02,long,2026-02-02 13:00:00+00:00,1.18386,1.18218,1.18553,2026-02-02 14:00:00+00:00,1.18218,-1.12,sl,1.76,0.84,2026-02
2026-02-04,long,2026-02-04 15:00:00+00:00,1.18024,1.17888,1.18159,2026-02-04 15:00:00+00:00,1.18159,0.852,tp,0.42,1.63,2026-02
2026-02-05,short,2026-02-05 13:00:00+00:00,1.18165,1.18283,1.18046,2026-02-05 13:00:00+00:00,1.18046,0.831,tp,0.09,1.8,2026-02
2026-02-06,short,2026-02-06 13:00:00+00:00,1.18076,1.18157,1.17996,2026-02-06 13:00:00+00:00,1.17996,0.752,tp,0.71,1.36,2026-02
2026-02-09,short,2026-02-09 13:00:00+00:00,1.18933,1.19073,1.18794,2026-02-09 13:00:00+00:00,1.19073,-1.144,sl,1.02,0.6,2026-02
2026-02-10,short,2026-02-10 14:00:00+00:00,1.19297,1.19428,1.19167,2026-02-10 14:00:00+00:00,1.19167,0.847,tp,0.04,1.7,2026-02
2026-02-11,long,2026-02-11 13:00:00+00:00,1.18955,1.18798,1.19112,2026-02-11 13:00:00+00:00,1.18798,-1.127,sl,3.45,0.77,2026-02
2026-02-13,short,2026-02-13 13:00:00+00:00,1.18737,1.18823,1.18651,2026-02-13 13:00:00+00:00,1.18823,-1.233,sl,1.14,1.48,2026-02
2026-02-17,long,2026-02-17 13:00:00+00:00,1.18268,1.18174,1.18362,2026-02-17 15:00:00+00:00,1.18174,-1.213,sl,1.88,0.8,2026-02
2026-02-18,long,2026-02-18 13:00:00+00:00,1.18281,1.18184,1.18378,2026-02-18 13:00:00+00:00,1.18378,0.793,tp,0.08,2.53,2026-02
2026-02-19,long,2026-02-19 13:00:00+00:00,1.17664,1.1756,1.17768,2026-02-19 14:00:00+00:00,1.1756,-1.192,sl,2.02,0.63,2026-02
2026-02-20,short,2026-02-20 13:00:00+00:00,1.17781,1.17882,1.1768,2026-02-20 13:00:00+00:00,1.1768,0.802,tp,0.19,1.6,2026-02
2026-02-26,long,2026-02-26 15:00:00+00:00,1.17921,1.17802,1.18039,2026-02-26 15:00:00+00:00,1.18039,0.831,tp,0.56,2.03,2026-02
2026-03-02,long,2026-03-02 15:00:00+00:00,1.16889,1.16639,1.17139,2026-03-02 15:00:00+00:00,1.17139,0.92,tp,0.21,1.16,2026-03
2026-03-03,long,2026-03-03 14:00:00+00:00,1.15749,1.15525,1.15974,2026-03-03 14:00:00+00:00,1.15974,0.911,tp,0.22,1.16,2026-03
2026-03-05,long,2026-03-05 15:00:00+00:00,1.15741,1.155,1.15982,2026-03-05 15:00:00+00:00,1.15982,0.917,tp,0.0,1.56,2026-03
2026-03-09,short,2026-03-09 13:00:00+00:00,1.15876,1.16145,1.15606,2026-03-09 13:00:00+00:00,1.15606,0.926,tp,0.1,1.1,2026-03
2026-03-11,long,2026-03-11 15:00:00+00:00,1.1573,1.15546,1.15913,2026-03-11 17:00:00+00:00,1.15741,-0.048,time,0.3,0.72,2026-03
2026-03-12,long,2026-03-12 13:00:00+00:00,1.15295,1.15151,1.15439,2026-03-12 13:00:00+00:00,1.15439,0.861,tp,0.33,1.61,2026-03
2026-03-16,short,2026-03-16 13:00:00+00:00,1.14999,1.15164,1.14833,2026-03-16 13:00:00+00:00,1.14833,0.879,tp,0.22,1.22,2026-03
2026-03-17,short,2026-03-17 13:00:00+00:00,1.15359,1.15528,1.15189,2026-03-17 17:00:00+00:00,1.1542,-0.482,time,0.52,0.74,2026-03
2026-03-18,long,2026-03-18 13:00:00+00:00,1.15006,1.14843,1.1517,2026-03-18 13:00:00+00:00,1.1517,0.878,tp,0.23,1.07,2026-03
2026-03-19,short,2026-03-19 13:00:00+00:00,1.15029,1.1523,1.14829,2026-03-19 13:00:00+00:00,1.1523,-1.1,sl,1.02,1.36,2026-03
2026-03-20,long,2026-03-20 14:00:00+00:00,1.15304,1.15125,1.15483,2026-03-20 15:00:00+00:00,1.15483,0.888,tp,0.17,1.62,2026-03
2026-03-23,short,2026-03-23 14:00:00+00:00,1.16418,1.16803,1.16032,2026-03-23 14:00:00+00:00,1.16032,0.948,tp,0.03,1.17,2026-03
2026-03-24,long,2026-03-24 13:00:00+00:00,1.15757,1.15601,1.15913,2026-03-24 13:00:00+00:00,1.15913,0.872,tp,0.19,1.1,2026-03
