date,side,entry_time,entry,sl,tp,exit_time,exit,r,reason,mae_r,mfe_r,month
2026-01-02,long,2026-01-02 15:00:00+00:00,1.34702,1.34473,1.35045,2026-01-02 18:00:00+00:00,1.34473,-1.122,sl,1.01,1.37,2026-01
2026-01-05,long,2026-01-05 15:00:00+00:00,1.34756,1.34446,1.35223,2026-01-05 16:00:00+00:00,1.35223,1.41,tp,0.05,1.58,2026-01
2026-01-06,short,2026-01-06 15:00:00+00:00,1.35097,1.35356,1.34708,2026-01-06 20:00:00+00:00,1.35009,0.23,time,0.62,0.65,2026-01
2026-01-07,short,2026-01-07 15:00:00+00:00,1.34862,1.35097,1.34508,2026-01-07 20:00:00+00:00,1.34638,0.829,time,0.46,0.99,2026-01
2026-01-08,short,2026-01-08 16:00:00+00:00,1.3434,1.34553,1.3402,2026-01-08 20:00:00+00:00,1.34371,-0.275,time,0.45,0.63,2026-01
2026-01-12,long,2026-01-12 15:00:00+00:00,1.34755,1.34505,1.35129,2026-01-12 20:00:00+00:00,1.34633,-0.599,time,0.78,0.18,2026-01
2026-01-13,short,2026-01-13 15:00:00+00:00,1.34591,1.34832,1.34231,2026-01-13 20:00:00+00:00,1.34326,0.99,time,0.0,1.41,2026-01
2026-01-15,short,2026-01-15 14:00:00+00:00,1.33733,1.3397,1.33377,2026-01-15 20:00:00+00:00,1.33765,-0.254,time,0.89,0.37,2026-01
2026-01-16,short,2026-01-16 15:00:00+00:00,1.33797,1.34007,1.33483,2026-01-16 15:00:00+00:00,1.34007,-1.134,sl,1.16,0.53,2026-01
2026-01-19,long,2026-01-19 14:00:00+00:00,1.34151,1.33952,1.3445,2026-01-19 20:00:00+00:00,1.34284,0.529,time,0.19,0.97,2026-01
2026-01-21,long,2026-01-21 14:00:00+00:00,1.34494,1.34218,1.34906,2026-01-21 17:00:00+00:00,1.34218,-1.102,sl,1.13,0.32,2026-01
2026-01-22,long,2026-01-22 15:00:00+00:00,1.3453,1.34165,1.35076,2026-01-22 20:00:00+00:00,1.34982,1.164,time,0.14,1.39,2026-01
2026-01-23,long,2026-01-23 14:00:00+00:00,1.3536,1.35115,1.35728,2026-01-23 16:00:00+00:00,1.35728,1.386,tp,0.58,2.5,2026-01
