date,side,entry_time,entry,sl,tp,exit_time,exit,r,reason,mae_r,mfe_r
2026-01-05,long,2026-01-05 13:00:00+00:00,4412.8652,4401.36021,4424.37019,2026-01-05 13:00:00+00:00,4424.37019,0.97,tp,0.51,1.54
2026-01-06,short,2026-01-06 14:00:00+00:00,4490.45001,4503.80005,4477.09998,2026-01-06 14:00:00+00:00,4477.09998,0.974,tp,0.77,1.18
2026-01-07,long,2026-01-07 13:00:00+00:00,4444.1476,4430.79009,4457.5051,2026-01-07 13:00:00+00:00,4457.5051,0.974,tp,0.57,1.41
2026-01-08,short,2026-01-08 15:00:00+00:00,4452.8099,4466.03989,4439.57991,2026-01-08 15:00:00+00:00,4439.57991,0.974,tp,0.97,1.25
2026-01-12,short,2026-01-12 13:00:00+00:00,4613.40259,4624.81006,4601.99512,2026-01-12 13:00:00+00:00,4624.81006,-1.031,sl,1.53,1.31
2026-01-13,short,2026-01-13 13:00:00+00:00,4608.99238,4619.76982,4598.21494,2026-01-13 13:00:00+00:00,4619.76982,-1.032,sl,1.88,0.92
2026-01-14,long,2026-01-14 14:00:00+00:00,4621.09017,4608.76011,4633.42024,2026-01-14 14:00:00+00:00,4633.42024,0.972,tp,0.58,2.08
2026-01-15,long,2026-01-15 13:00:00+00:00,4593.68992,4582.55996,4604.81987,2026-01-15 13:00:00+00:00,4604.81987,0.969,tp,0.87,2.38
2026-01-20,short,2026-01-20 14:00:00+00:00,4747.61989,4761.77983,4733.45994,2026-01-20 14:00:00+00:00,4733.45994,0.975,tp,0.63,1.0
2026-01-21,long,2026-01-21 15:00:00+00:00,4828.37269,4807.89019,4848.8552,2026-01-21 15:00:00+00:00,4848.8552,0.983,tp,0.71,2.09
2026-01-22,long,2026-01-22 13:00:00+00:00,4811.1248,4798.5998,4823.6498,2026-01-22 13:00:00+00:00,4823.6498,0.972,tp,0.12,2.1
2026-01-26,long,2026-01-26 13:00:00+00:00,5057.09003,5039.36011,5074.81995,2026-01-26 13:00:00+00:00,5074.81995,0.98,tp,0.29,1.34
2026-01-27,long,2026-01-27 14:00:00+00:00,5056.60773,5039.83032,5073.38513,2026-01-27 14:00:00+00:00,5073.38513,0.979,tp,0.87,1.27
2026-01-29,long,2026-01-29 15:00:00+00:00,5480.41503,5418.66011,5542.16995,2026-01-29 15:00:00+00:00,5418.66011,-1.006,sl,5.74,0.73
2026-02-03,short,2026-02-03 16:00:00+00:00,4987.435,5023.23999,4951.63,2026-02-03 17:00:00+00:00,4951.63,0.99,tp,0.86,1.61
2026-02-04,long,2026-02-04 14:00:00+00:00,5026.51251,4998.05005,5054.97498,2026-02-04 14:00:00+00:00,4998.05005,-1.012,sl,1.34,1.97
2026-02-09,short,2026-02-09 15:00:00+00:00,5075.86259,5100.65005,5051.07512,2026-02-09 15:00:00+00:00,5051.07512,0.986,tp,0.34,1.22
2026-02-10,short,2026-02-10 14:00:00+00:00,5092.6223,5114.58979,5070.65481,2026-02-10 14:00:00+00:00,5070.65481,0.984,tp,0.46,2.25
2026-02-11,long,2026-02-11 13:00:00+00:00,5060.29231,5034.76982,5085.81479,2026-02-11 13:00:00+00:00,5085.81479,0.986,tp,0.94,2.14
2026-02-12,long,2026-02-12 14:00:00+00:00,5063.43491,5047.03994,5079.82988,2026-02-12 14:00:00+00:00,5079.82988,0.979,tp,0.13,2.3
2026-02-17,long,2026-02-17 13:00:00+00:00,4896.02258,4868.79004,4923.25513,2026-02-17 13:00:00+00:00,4923.25513,0.987,tp,0.3,2.09
2026-02-18,short,2026-02-18 13:00:00+00:00,4971.94,4985.26001,4958.62,2026-02-18 13:00:00+00:00,4985.26001,-1.026,sl,1.34,0.68
2026-02-19,long,2026-02-19 13:00:00+00:00,4992.60259,4979.11006,5006.09512,2026-02-19 13:00:00+00:00,5006.09512,0.974,tp,0.19,1.92
2026-02-23,short,2026-02-23 14:00:00+00:00,5192.11489,5209.25986,5174.96992,2026-02-23 14:00:00+00:00,5209.25986,-1.02,sl,1.74,1.79
2026-02-24,long,2026-02-24 13:00:00+00:00,5156.49771,5139.39023,5173.60518,2026-02-24 13:00:00+00:00,5139.39023,-1.02,sl,1.73,1.38
2026-02-25,short,2026-02-25 16:00:00+00:00,5226.2599,5242.33989,5210.17991,2026-02-25 16:00:00+00:00,5210.17991,0.978,tp,0.46,1.07
2026-02-26,long,2026-02-26 14:00:00+00:00,5167.72511,5151.60015,5183.85007,2026-02-26 14:00:00+00:00,5183.85007,0.978,tp,0.81,1.52
2026-03-02,long,2026-03-02 14:00:00+00:00,5368.37269,5343.39019,5393.3552,2026-03-02 14:00:00+00:00,5343.39019,-1.014,sl,1.99,1.7
2026-03-03,long,2026-03-03 14:00:00+00:00,5059.97241,4995.68994,5124.25488,2026-03-03 14:00:00+00:00,5124.25488,0.995,tp,0.54,1.96
