date,side,entry_time,entry,sl,tp,exit_time,exit,r,reason,mae_r,mfe_r
2026-01-01,short,2026-01-02 05:00:00+00:00,156.93112,157.07602,156.82245,2026-01-02 05:00:00+00:00,156.82245,0.584,tp,0.08,0.84
2026-01-05,short,2026-01-06 00:00:00+00:00,156.67039,156.87149,156.51956,2026-01-06 01:00:00+00:00,156.51956,0.631,tp,0.63,1.13
2026-01-06,long,2026-01-07 05:00:00+00:00,156.397,156.2626,156.4978,2026-01-07 05:00:00+00:00,156.4978,0.571,tp,0.3,1.06
2026-01-07,long,2026-01-08 07:00:00+00:00,156.47313,156.31003,156.59545,2026-01-08 07:00:00+00:00,156.59545,0.603,tp,0.07,1.36
2026-01-08,short,2026-01-09 02:00:00+00:00,157.17313,157.31643,157.06565,2026-01-09 05:00:00+00:00,157.31643,-1.167,sl,1.51,0.41
2026-01-12,long,2026-01-12 23:00:00+00:00,157.90313,157.75604,158.01346,2026-01-12 23:00:00+00:00,158.01346,0.587,tp,0.13,1.87
2026-01-13,short,2026-01-14 01:00:00+00:00,159.37549,159.53349,159.25699,2026-01-14 01:00:00+00:00,159.25699,0.598,tp,0.5,1.2
2026-01-15,long,2026-01-16 02:00:00+00:00,158.23424,158.05684,158.36729,2026-01-16 02:00:00+00:00,158.05684,-1.135,sl,1.56,2.23
2026-01-19,long,2026-01-20 01:00:00+00:00,157.87786,157.72896,157.98954,2026-01-20 01:00:00+00:00,157.98954,0.589,tp,0.24,2.11
2026-01-21,short,2026-01-22 06:00:00+00:00,158.75062,158.92392,158.62065,2026-01-22 09:00:00+00:00,158.62065,0.612,tp,0.82,0.86
2026-01-22,short,2026-01-23 02:00:00+00:00,158.66711,158.82401,158.54944,2026-01-23 02:00:00+00:00,158.54944,0.597,tp,0.11,1.12
2026-01-26,short,2026-01-27 04:00:00+00:00,154.59449,154.85009,154.40279,2026-01-27 06:00:00+00:00,154.40279,0.656,tp,0.19,0.91
2026-01-28,long,2026-01-29 00:00:00+00:00,152.78924,152.38863,153.08969,2026-01-29 00:00:00+00:00,153.08969,0.69,tp,0.08,1.07
2026-01-29,short,2026-01-30 00:00:00+00:00,153.61362,153.93412,153.37325,2026-01-30 00:00:00+00:00,153.37325,0.675,tp,0.11,1.69
2026-02-02,long,2026-02-03 07:00:00+00:00,155.29863,155.12313,155.43026,2026-02-03 07:00:00+00:00,155.43026,0.613,tp,0.01,1.3
2026-02-03,short,2026-02-04 00:00:00+00:00,156.0225,156.19249,155.895,2026-02-04 00:00:00+00:00,155.895,0.609,tp,0.08,1.35
2026-02-05,long,2026-02-06 01:00:00+00:00,156.53662,156.33552,156.68744,2026-02-06 01:00:00+00:00,156.68744,0.631,tp,0.16,1.26
2026-02-09,long,2026-02-09 00:00:00+00:00,156.78549,156.56269,156.95259,2026-02-09 00:00:00+00:00,156.95259,0.642,tp,0.59,2.27
2026-02-09,short,2026-02-10 00:00:00+00:00,156.26562,156.52292,156.07265,2026-02-10 00:00:00+00:00,156.07265,0.657,tp,0.11,1.2
2026-02-10,long,2026-02-11 01:00:00+00:00,153.94101,153.7034,154.11921,2026-02-11 02:00:00+00:00,153.7034,-1.101,sl,1.41,0.52
2026-02-11,long,2026-02-12 03:00:00+00:00,152.31549,152.00789,152.5462,2026-02-12 03:00:00+00:00,152.5462,0.672,tp,0.18,1.06
2026-02-12,short,2026-02-13 01:00:00+00:00,153.33713,153.61484,153.12886,2026-02-13 01:00:00+00:00,153.12886,0.664,tp,0.04,2.11
2026-02-16,short,2026-02-16 04:00:00+00:00,153.1255,153.33951,152.965,2026-02-16 06:00:00+00:00,153.132,-0.143,time,0.58,0.69
