n_tr,Rn_tr,Rp_tr,te_R,te_n,te_pf,te_dd,te_wr,tax,ov_n,R_cal
281,114.94,127.45,37.56,103,2.18,3.06,68.93,-0.00028125000000001066,32,37.53103125
281,115.34,127.45,37.56,103,2.18,3.06,68.93,-0.00028125000000001066,32,37.53103125
281,116.53,127.45,37.56,103,2.18,3.06,68.93,-0.00028125000000001066,32,37.53103125
281,116.73,127.45,37.56,103,2.18,3.06,68.93,-0.00028125000000001066,32,37.53103125
281,118.53,127.45,37.56,103,2.18,3.06,68.93,-0.00028125000000001066,32,37.53103125
281,118.53,127.45,37.56,103,2.18,3.06,68.93,-0.00028125000000001066,32,37.53103125
281,114.31,125.3,37.02,103,2.17,3.06,68.93,-0.00028125000000001066,32,36.99103125
281,114.61,125.3,37.02,103,2.17,3.06,68.93,-0.00028125000000001066,32,36.99103125
281,115.31,125.3,37.02,103,2.17,3.06,68.93,-0.00028125000000001066,32,36.99103125
281,115.51,125.3,37.02,103,2.17,3.06,68.93,-0.00028125000000001066,32,36.99103125
281,117.31,125.3,37.02,103,2.17,3.06,68.93,-0.00028125000000001066,32,36.99103125
281,117.31,125.3,37.02,103,2.17,3.06,68.93,-0.00028125000000001066,32,36.99103125
291,110.57,127.45,39.46,109,2.17,4.14,68.81,-0.06696666666666667,30,32.16063333333334
291,110.87,127.45,39.46,109,2.17,4.14,68.81,-0.06696666666666667,30,32.16063333333334
291,111.57,127.45,39.46,109,2.17,4.14,68.81,-0.06696666666666667,30,32.16063333333334
291,111.77,127.45,39.46,109,2.17,4.14,68.81,-0.06696666666666667,30,32.16063333333334
291,113.57,127.45,39.46,109,2.17,4.14,68.81,-0.06696666666666667,30,32.16063333333334
291,113.57,127.45,39.46,109,2.17,4.14,68.81,-0.06696666666666667,30,32.16063333333334
291,110.42,125.3,38.92,109,2.15,4.14,68.81,-0.06696666666666667,30,31.620633333333334
291,110.72,125.3,38.92,109,2.15,4.14,68.81,-0.06696666666666667,30,31.620633333333334
