n_tr,Rn_tr,Rp_tr,te_R,te_n,te_pf,te_dd,te_wr,tax,ov_n,R_cal
397,98.16,85.74,21.28,101,1.84,4.91,77.23,1.3061447348531253e-17,34,21.28
397,98.16,85.74,21.28,101,1.84,4.91,77.23,1.3061447348531253e-17,34,21.28
409,103.91,91.5,21.27,107,1.77,4.45,76.64,1.2335811384723961e-17,36,21.27
409,103.91,91.5,21.27,107,1.77,4.45,76.64,1.2335811384723961e-17,36,21.27
397,98.16,85.74,20.53,101,1.81,4.91,76.24,1.3061447348531253e-17,34,20.53
409,103.91,91.5,20.52,107,1.74,4.45,75.7,1.2335811384723961e-17,36,20.52
397,95.94,84.58,19.24,101,1.73,4.91,76.24,-0.009941176470588228,34,18.235941176470586
397,95.94,84.58,19.24,101,1.73,4.91,76.24,-0.009941176470588228,34,18.235941176470586
409,101.69,90.33,19.23,107,1.67,4.45,75.7,-0.009388888888888879,36,18.22538888888889
409,101.69,90.33,19.23,107,1.67,4.45,75.7,-0.009388888888888879,36,18.22538888888889
387,93.76,84.25,20.73,96,1.9,3.24,76.04,-0.030303030303030304,33,17.82090909090909
398,96.37,85.2,20.48,100,1.87,2.75,76.0,-0.02941176470588238,34,17.53882352941176
397,95.94,84.58,18.49,101,1.7,4.91,75.25,-0.009941176470588228,34,17.485941176470586
409,101.69,90.33,18.48,107,1.64,4.45,74.77,-0.009388888888888879,36,17.47538888888889
278,67.34,84.27,12.1,69,1.65,3.69,75.36,0.07000000000000005,25,16.930000000000003
278,68.26,84.27,12.1,69,1.65,3.69,75.36,0.07000000000000005,25,16.930000000000003
278,67.34,84.27,12.1,69,1.65,3.69,75.36,0.07000000000000005,25,16.930000000000003
398,97.12,85.2,21.98,100,1.95,2.44,78.0,-0.05147058823529414,34,16.832941176470587
398,97.12,85.2,21.98,100,1.95,2.44,78.0,-0.05147058823529414,34,16.832941176470587
385,98.17,84.27,18.61,97,1.74,3.6,76.29,-0.02085294117647059,34,16.58726470588235
