inst,fam,sid,n,Rn,pfn,Rp,teRn,teRp,ten
EURUSD,I_lonbreak,ref07-08o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,532,48.14,1.21,64.76,24.52,28.84,157
EURUSD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,506,44.93,1.21,56.69,23.76,30.36,150
EURUSD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,540,44.95,1.19,56.49,29.19,35.8,158
EURUSD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,540,47.44,1.2,55.48,35.09,38.69,158
EURUSD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,506,49.01,1.22,54.27,30.29,33.9,150
EURUSD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m2.0|tp1.5|x20,506,49.38,1.3,53.59,28.83,33.26,150
GBPUSD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,496,90.36,1.47,101.15,22.02,28.14,148
GBPUSD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,496,85.71,1.43,92.72,22.15,27.77,148
GBPUSD,I_lonbreak,ref07-08o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,535,79.5,1.37,90.44,25.18,25.18,160
GBPUSD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,530,72.69,1.33,83.48,11.83,18.65,159
GBPUSD,I_lonbreak,ref07-08o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,535,76.2,1.33,83.35,22.3,28.11,160
GBPUSD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,530,74.34,1.33,81.34,13.44,19.76,159
GOLD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,413,111.66,1.83,119.67,32.73,32.73,156
GOLD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,413,107.98,1.77,113.98,39.97,39.97,156
GOLD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,393,104.94,1.85,112.94,35.45,35.45,148
GOLD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,393,102.55,1.81,108.55,36.39,36.39,148
GOLD,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m2.0|tp2.0|x20,413,104.92,2.05,107.92,24.81,24.81,156
GOLD,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m2.0|tp2.0|x20,393,104.29,2.19,107.29,23.4,23.4,148
USDJPY,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,531,70.31,1.38,78.4,26.2,26.2,156
USDJPY,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,499,64.53,1.37,74.68,21.55,21.55,144
USDJPY,I_lonbreak,ref07-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,499,62.36,1.35,72.33,22.69,22.69,144
USDJPY,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m1.5|tp2.0|x20,531,64.13,1.33,71.73,27.22,27.22,156
USDJPY,I_lonbreak,ref08-09o0|act13-17|con_cb|b0.0|a10|m2.0|tp2.0|x20,531,65.51,1.46,68.92,18.95,18.95,156
USDJPY,I_lonbreak,ref07-08o0|act13-17|con_cb|b0.0|a10|m1.5|tp1.5|x20,529,58.24,1.3,68.38,19.33,19.33,154
