inst,family,spec,n_tr,tr_r,tr_pf,tr_dd,seg_ok,te_n,te_r,te_pf
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tp0.75|x08,487,-153.79,0.45,155.46,False,131,-39.02,0.44
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-09|rev|b0.75|a10|m1.0|tpopp|x08,487,-106.76,0.68,107.14,False,131,-31.41,0.66
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tp0.75|x08,472,-149.82,0.44,151.57,False,122,-31.3,0.5
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.0|a10|m1.0|tpopp|x08,472,-115.96,0.65,118.75,False,122,-17.66,0.78
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tp0.75|x08,428,-125.85,0.47,126.49,False,109,-27.66,0.51
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-09|rev|b1.25|a10|m1.0|tpopp|x08,428,-94.58,0.69,95.79,False,109,-10.97,0.85
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tp0.75|x08,491,-155.74,0.45,157.61,False,134,-41.16,0.43
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-10|rev|b0.75|a10|m1.0|tpopp|x08,491,-112.2,0.67,111.86,False,134,-31.12,0.67
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tp0.75|x08,475,-150.22,0.44,151.97,False,125,-33.59,0.49
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.0|a10|m1.0|tpopp|x08,475,-116.15,0.65,118.97,False,125,-18.52,0.78
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tp0.75|x08,439,-124.08,0.48,125.0,False,115,-30.76,0.49
USDJPY,A_asia_ny_rev,A_asia_ny_rev|ref19-21o1|act22-10|rev|b1.25|a10|m1.0|tpopp|x08,439,-87.62,0.72,90.92,False,115,-16.13,0.8
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x10,549,-192.91,0.29,193.23,False,155,-58.93,0.23
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.5|x11,549,-192.91,0.3,193.23,False,155,-58.82,0.24
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x10,549,-161.46,0.46,161.05,False,155,-47.66,0.42
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tp0.75|x11,549,-159.89,0.47,159.82,False,155,-48.35,0.43
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x10,549,-159.6,0.52,159.16,False,155,-39.57,0.57
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.0|tpopp|x11,549,-150.84,0.56,150.74,False,155,-34.97,0.63
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x10,549,-119.44,0.44,119.17,False,155,-32.13,0.43
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.5|x11,549,-120.09,0.45,120.04,False,155,-33.69,0.44
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x10,549,-102.57,0.56,102.67,False,155,-27.86,0.55
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tp0.75|x11,549,-102.63,0.57,102.63,False,155,-27.36,0.58
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tpopp|x10,549,-115.83,0.51,115.53,False,155,-24.76,0.6
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.25|a10|m1.5|tpopp|x11,549,-114.98,0.54,114.91,False,155,-22.68,0.66
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.5|x10,524,-187.48,0.29,187.78,False,147,-58.78,0.22
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.5|x11,524,-185.12,0.3,185.42,False,147,-57.91,0.23
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.75|x10,524,-153.54,0.46,153.11,False,147,-48.59,0.4
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tp0.75|x11,524,-150.33,0.47,150.24,False,147,-49.52,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tpopp|x10,524,-150.16,0.53,150.3,False,147,-39.99,0.56
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.0|tpopp|x11,524,-138.49,0.57,138.97,False,147,-35.01,0.62
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.5|x10,524,-114.86,0.44,114.58,False,147,-32.81,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.5|x11,524,-115.33,0.45,115.39,False,147,-34.95,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.75|x10,524,-97.47,0.56,97.56,False,147,-30.04,0.5
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tp0.75|x11,524,-97.36,0.57,97.75,False,147,-30.4,0.53
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tpopp|x10,524,-109.44,0.52,109.6,False,147,-26.07,0.58
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.5|a10|m1.5|tpopp|x11,524,-107.22,0.55,107.86,False,147,-23.94,0.63
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.5|x10,488,-176.51,0.29,177.07,False,133,-51.62,0.23
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.5|x11,488,-172.47,0.3,173.02,False,133,-54.16,0.23
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.75|x10,488,-150.61,0.44,150.68,False,133,-43.92,0.39
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tp0.75|x11,488,-148.43,0.45,148.84,False,133,-49.1,0.38
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tpopp|x10,488,-146.24,0.51,147.93,False,133,-35.16,0.56
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.0|tpopp|x11,488,-137.44,0.56,141.67,False,133,-35.91,0.59
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.5|x10,488,-112.19,0.43,112.24,False,133,-30.57,0.39
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.5|x11,488,-112.25,0.44,112.53,False,133,-32.2,0.4
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.75|x10,488,-94.97,0.54,95.25,False,133,-29.39,0.47
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tp0.75|x11,488,-95.03,0.56,95.99,False,133,-29.69,0.5
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tpopp|x10,488,-106.21,0.51,108.07,False,133,-23.95,0.57
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev|b0.75|a10|m1.5|tpopp|x11,488,-104.71,0.54,107.99,False,133,-23.19,0.61
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.0|tp0.5|x10,143,-49.33,0.27,49.48,False,52,-16.88,0.25
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.0|tp0.5|x11,143,-46.32,0.3,46.48,False,52,-12.98,0.33
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.0|tp0.75|x10,143,-41.41,0.42,41.82,False,52,-17.84,0.31
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.0|tp0.75|x11,143,-36.57,0.48,36.97,False,52,-14.76,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.0|tpopp|x10,143,-41.66,0.39,41.65,False,52,-19.46,0.29
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.0|tpopp|x11,143,-38.03,0.43,38.02,False,52,-16.87,0.36
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.5|tp0.5|x10,143,-27.17,0.44,27.44,False,52,-11.54,0.31
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.5|tp0.5|x11,143,-22.58,0.51,22.85,False,52,-9.63,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.5|tp0.75|x10,143,-20.1,0.6,21.16,False,52,-10.58,0.4
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.5|tp0.75|x11,143,-14.26,0.71,16.81,False,52,-9.52,0.49
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.5|tpopp|x10,143,-28.27,0.39,28.26,False,52,-11.6,0.31
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.25|a10|m1.5|tpopp|x11,143,-24.25,0.45,24.24,False,52,-9.0,0.42
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.0|tp0.5|x10,96,-30.8,0.29,30.95,False,34,-13.57,0.22
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.0|tp0.5|x11,96,-26.36,0.35,26.52,False,34,-11.32,0.28
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.0|tp0.75|x10,96,-23.91,0.47,24.31,False,34,-12.28,0.34
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.0|tp0.75|x11,96,-18.8,0.56,19.2,False,34,-9.13,0.47
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.0|tpopp|x10,96,-27.04,0.38,27.03,False,34,-14.34,0.28
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.0|tpopp|x11,96,-23.22,0.44,23.55,False,34,-12.47,0.36
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.5|tp0.5|x10,96,-15.57,0.48,15.84,False,34,-7.59,0.35
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.5|tp0.5|x11,96,-12.03,0.58,12.3,False,34,-5.99,0.47
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.5|tp0.75|x10,96,-10.85,0.66,11.52,False,34,-7.88,0.38
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.5|tp0.75|x11,96,-5.03,0.83,6.06,False,34,-6.63,0.5
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.5|tpopp|x10,96,-17.8,0.38,17.79,False,34,-8.92,0.29
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-09|rev_cf|b0.5|a10|m1.5|tpopp|x11,96,-14.88,0.45,14.91,False,34,-6.73,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.0|tp0.5|x10,553,-194.6,0.29,194.92,False,158,-62.07,0.22
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.0|tp0.5|x11,553,-193.87,0.3,194.19,False,158,-61.52,0.23
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.0|tp0.75|x10,553,-162.65,0.46,162.24,False,158,-50.8,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.0|tp0.75|x11,553,-160.35,0.47,160.28,False,158,-50.8,0.43
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.0|tpopp|x10,553,-160.39,0.52,159.95,False,158,-42.71,0.55
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.0|tpopp|x11,553,-151.31,0.56,151.21,False,158,-37.75,0.62
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.5|tp0.5|x10,553,-120.91,0.44,120.63,False,158,-33.39,0.42
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.5|tp0.5|x11,553,-120.73,0.46,120.68,False,158,-35.56,0.43
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.5|tp0.75|x10,553,-103.53,0.56,103.64,False,158,-28.87,0.54
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.5|tp0.75|x11,553,-103.04,0.57,103.04,False,158,-29.45,0.57
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.5|tpopp|x10,553,-117.02,0.51,116.73,False,158,-25.55,0.6
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.25|a10|m1.5|tpopp|x11,553,-115.62,0.54,115.56,False,158,-24.78,0.64
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.0|tp0.5|x10,536,-193.1,0.29,193.4,False,151,-63.1,0.21
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.0|tp0.5|x11,536,-190.49,0.29,190.79,False,151,-61.79,0.22
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.0|tp0.75|x10,536,-157.66,0.46,157.23,False,151,-52.91,0.38
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.0|tp0.75|x11,536,-154.94,0.46,154.85,False,151,-53.15,0.4
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.0|tpopp|x10,536,-153.46,0.53,153.61,False,151,-44.3,0.53
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.0|tpopp|x11,536,-142.66,0.57,143.14,False,151,-38.96,0.6
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.5|tp0.5|x10,536,-118.11,0.44,117.82,False,151,-33.69,0.41
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.5|tp0.5|x11,536,-118.22,0.45,118.29,False,151,-36.98,0.4
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.5|tp0.75|x10,536,-98.97,0.56,99.06,False,151,-30.41,0.51
USDJPY,B_london_rev,B_london_rev|ref19-21o1|act06-10|rev|b0.5|a10|m1.5|tp0.75|x11,536,-99.5,0.57,99.89,False,151,-32.65,0.52
